epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3357.52,0.7397,0.48201,0.93386,0.90659,0.90434,0.95347,0.82587,0.72021,0.47928,0.94322,0.000848969,0.000848969,0.000848969
43,3438.9,0.73422,0.47881,0.93516,0.91573,0.91038,0.95691,0.83032,0.71844,0.47496,0.94433,0.000834822,0.000834822,0.000834822
44,3539.37,0.73452,0.4776,0.9328,0.92084,0.88784,0.95091,0.83047,0.71475,0.46986,0.94564,0.000820675,0.000820675,0.000820675
45,3622.14,0.73547,0.47656,0.93284,0.90839,0.90844,0.95552,0.83029,0.71576,0.47556,0.94359,0.000806528,0.000806528,0.000806528
46,3702.05,0.72562,0.46761,0.92866,0.92128,0.8943,0.95135,0.83102,0.71469,0.46475,0.9459,0.00079238,0.00079238,0.00079238
47,3782.12,0.72741,0.4714,0.93026,0.88327,0.90905,0.95647,0.83816,0.7189,0.47122,0.94353,0.000778233,0.000778233,0.000778233
48,3862.15,0.72395,0.46868,0.92775,0.91743,0.89468,0.95687,0.83328,0.71946,0.4695,0.9454,0.000764086,0.000764086,0.000764086
49,3942,0.71963,0.46643,0.92697,0.91075,0.89907,0.94835,0.82912,0.70761,0.4742,0.94012,0.000749939,0.000749939,0.000749939
50,4021.94,0.72475,0.46894,0.92757,0.90316,0.91212,0.95089,0.83155,0.70931,0.46917,0.94083,0.000735792,0.000735792,0.000735792
51,4101.78,0.72087,0.46414,0.92618,0.91617,0.90418,0.95751,0.83816,0.70175,0.46034,0.93846,0.000721645,0.000721645,0.000721645
52,4180.67,0.71587,0.46377,0.92754,0.90742,0.90448,0.95335,0.83759,0.70878,0.45865,0.94363,0.000707498,0.000707498,0.000707498
53,4259.26,0.71759,0.46283,0.92652,0.90301,0.91031,0.95342,0.83822,0.70508,0.45919,0.94311,0.000693351,0.000693351,0.000693351
54,4338.12,0.70631,0.4561,0.9245,0.90519,0.90292,0.95769,0.83767,0.69916,0.45483,0.9392,0.000679204,0.000679204,0.000679204
55,4416.81,0.71229,0.45734,0.9242,0.89809,0.90649,0.94925,0.83177,0.69945,0.45499,0.93902,0.000665057,0.000665057,0.000665057
56,4495.64,0.70831,0.4577,0.92419,0.92026,0.89182,0.94565,0.83303,0.69974,0.45393,0.94121,0.000650909,0.000650909,0.000650909
57,4574.38,0.7007,0.44959,0.92259,0.91009,0.9113,0.95256,0.83859,0.69479,0.45688,0.93687,0.000636762,0.000636762,0.000636762
58,4653.21,0.70147,0.45523,0.92092,0.90337,0.91098,0.9574,0.84202,0.69368,0.45951,0.93431,0.000622615,0.000622615,0.000622615
59,4731.98,0.69204,0.44626,0.91696,0.89569,0.92609,0.95982,0.84465,0.7003,0.45224,0.94049,0.000608468,0.000608468,0.000608468
60,4810.86,0.6967,0.44963,0.92172,0.89842,0.91207,0.96196,0.84853,0.69601,0.44929,0.93704,0.000594321,0.000594321,0.000594321
61,4895.07,0.70206,0.44801,0.91914,0.89944,0.91052,0.95225,0.83834,0.69725,0.44725,0.93772,0.000580174,0.000580174,0.000580174
62,4975.06,0.69137,0.4435,0.91684,0.90769,0.90656,0.95889,0.84748,0.69022,0.45101,0.93519,0.000566027,0.000566027,0.000566027
